                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.4492,0.85652,1.0191,0.9513,0.95151,0.9746,0.58592,1.3906,0.67428,1.024,0.0002292,0.0002292,0.0002292
46,1.4337,0.82496,1.0169,0.91342,0.96146,0.96535,0.57523,1.4054,0.68012,1.0267,0.00022623,0.00022623,0.00022623
47,1.4232,0.81296,1.0094,0.9478,0.94225,0.97026,0.58493,1.4004,0.67751,1.0236,0.00022326,0.00022326,0.00022326
48,1.4253,0.81115,1.0131,0.94004,0.95382,0.97273,0.58422,1.4093,0.67129,1.0277,0.00022029,0.00022029,0.00022029
49,1.4177,0.80257,1.0089,0.95047,0.9586,0.97453,0.58189,1.4134,0.68138,1.025,0.00021731,0.00021731,0.00021731
50,1.4124,0.81435,1.0068,0.95491,0.95225,0.97653,0.59137,1.3926,0.66871,1.0242,0.00021434,0.00021434,0.00021434
51,1.4173,0.80246,1.0061,0.92884,0.9571,0.9699,0.58224,1.4145,0.6697,1.0293,0.00021137,0.00021137,0.00021137
52,1.4119,0.80277,1.0074,0.9429,0.95226,0.97503,0.58772,1.4084,0.66219,1.0289,0.0002084,0.0002084,0.0002084
53,1.3985,0.77786,1.0023,0.94435,0.95939,0.97638,0.59246,1.4,0.66108,1.0264,0.00020543,0.00020543,0.00020543
54,1.4134,0.78954,1.0058,0.96679,0.95079,0.97562,0.58731,1.3869,0.65379,1.0201,0.00020245,0.00020245,0.00020245
55,1.4029,0.77091,1.0094,0.95125,0.95477,0.97368,0.58824,1.4052,0.63465,1.0285,0.00019948,0.00019948,0.00019948
56,1.407,0.77136,1.0015,0.94525,0.96257,0.97525,0.5965,1.3784,0.64075,1.0185,0.00019651,0.00019651,0.00019651
57,1.4013,0.76794,1.0057,0.95837,0.96403,0.97854,0.59049,1.3905,0.62495,1.0207,0.00019354,0.00019354,0.00019354
58,1.404,0.76054,1.0065,0.93825,0.93006,0.96889,0.59181,1.3781,0.65799,1.021,0.00019057,0.00019057,0.00019057
59,1.3887,0.74941,1.0016,0.97074,0.94618,0.97438,0.5869,1.4036,0.62918,1.0244,0.00018759,0.00018759,0.00018759
60,1.385,0.74777,0.99911,0.94135,0.96054,0.97497,0.58668,1.3896,0.63737,1.0256,0.00018462,0.00018462,0.00018462
61,1.3995,0.74513,1.0052,0.95651,0.97117,0.98364,0.59482,1.3732,0.62435,1.0169,0.00018165,0.00018165,0.00018165
62,1.376,0.7421,0.99874,0.95585,0.95769,0.97496,0.59234,1.3933,0.63496,1.0165,0.00017868,0.00017868,0.00017868
63,1.3768,0.73864,0.99932,0.94259,0.94775,0.97585,0.58836,1.3788,0.64616,1.0155,0.00017571,0.00017571,0.00017571
64,1.3807,0.72836,0.99838,0.95415,0.96915,0.97673,0.58691,1.3888,0.61839,1.0165,0.00017273,0.00017273,0.00017273
65,1.3754,0.72558,0.99424,0.94163,0.967,0.97317,0.59269,1.3906,0.62957,1.0159,0.00016976,0.00016976,0.00016976
66,1.3672,0.71376,0.99172,0.967,0.96737,0.9763,0.5921,1.3912,0.61291,1.0158,0.00016679,0.00016679,0.00016679
67,1.3744,0.73834,0.99404,0.96824,0.95729,0.97607,0.59144,1.3879,0.6154,1.0163,0.00016382,0.00016382,0.00016382
68,1.3684,0.7233,0.98756,0.96049,0.96536,0.97809,0.59347,1.3903,0.62,1.0144,0.00016085,0.00016085,0.00016085
69,1.3768,0.72419,0.99148,0.96377,0.97088,0.97937,0.5942,1.3991,0.60601,1.0139,0.00015787,0.00015787,0.00015787
70,1.3541,0.71013,0.99315,0.97083,0.95646,0.97991,0.58338,1.407,0.60901,1.0171,0.0001549,0.0001549,0.0001549
71,1.3541,0.69323,0.98727,0.95468,0.97389,0.98212,0.59451,1.3922,0.60378,1.0149,0.00015193,0.00015193,0.00015193
72,1.364,0.70857,0.98817,0.96873,0.94215,0.97702,0.5926,1.3918,0.6123,1.0162,0.00014896,0.00014896,0.00014896
73,1.3617,0.70221,0.99013,0.97578,0.96348,0.9833,0.59723,1.3955,0.60069,1.0153,0.00014599,0.00014599,0.00014599
74,1.361,0.69199,0.99245,0.96111,0.9733,0.9828,0.59442,1.3953,0.60526,1.0173,0.00014301,0.00014301,0.00014301
75,1.3489,0.69139,0.98855,0.97356,0.96396,0.98214,0.59823,1.394,0.60008,1.0184,0.00014004,0.00014004,0.00014004
76,1.3525,0.69379,0.98772,0.96503,0.96631,0.97878,0.6024,1.3877,0.60081,1.019,0.00013707,0.00013707,0.00013707
77,1.3447,0.68895,0.99452,0.97576,0.96323,0.97953,0.59555,1.3821,0.59257,1.0155,0.0001341,0.0001341,0.0001341
78,1.3397,0.68394,0.98473,0.96845,0.96372,0.97806,0.59992,1.3704,0.591,1.0124,0.00013113,0.00013113,0.00013113
79,1.3361,0.67586,0.98548,0.9728,0.96514,0.98117,0.59734,1.3861,0.58989,1.0155,0.00012815,0.00012815,0.00012815
80,1.3553,0.68584,0.9908,0.96397,0.95765,0.97678,0.60078,1.3777,0.5866,1.0124,0.00012518,0.00012518,0.00012518
81,1.3398,0.677,0.98936,0.96579,0.97027,0.97706,0.60161,1.3707,0.5847,1.0086,0.00012221,0.00012221,0.00012221
